"","date","Spending_on_all_cards"
"1",2020-03-07,100
"2",2020-03-08,98.7921313292953
"3",2020-03-09,97.8423287789518
"4",2020-03-10,97.1502112718844
"5",2020-03-11,96.8990354128299
"6",2020-03-12,98.8004776045874
"7",2020-03-13,97.9199179957358
"8",2020-03-14,96.0892215193242
"9",2020-03-15,94.917233815422
"10",2020-03-16,95.0027363115815
"11",2020-03-17,87.8795432693129
"12",2020-03-18,85.4129238410493
"13",2020-03-19,79.7024900042487
"14",2020-03-20,75.5635331665934
"15",2020-03-21,73.3290718113906
"16",2020-03-22,70.6887166106072
"17",2020-03-23,67.7061678314447
"18",2020-03-24,72.5443810495917
"19",2020-03-25,72.1844764213864
"20",2020-03-26,71.719723465646
"21",2020-03-27,71.955805878346
"22",2020-03-28,70.6070908763724
"23",2020-03-29,69.8574817492132
"24",2020-03-30,68.3950724946513
"25",2020-03-31,66.736344876356
"26",2020-04-01,65.4414679575978
"27",2020-04-02,64.2799467550537
"28",2020-04-03,61.8115094296128
"29",2020-04-04,60.9476692427287
"30",2020-04-05,61.1710752930089
"31",2020-04-06,61.2358925961864
"32",2020-04-07,62.0842699546403
"33",2020-04-08,62.9410378410451
"34",2020-04-09,64.5935672188998
"35",2020-04-10,63.7518946493069
"36",2020-04-11,64.2092364042309
"37",2020-04-12,62.9572977450369
"38",2020-04-13,60.2438245459102
"39",2020-04-14,59.8186261989471
"40",2020-04-15,59.6612608360552
"41",2020-04-16,58.8187056365525
"42",2020-04-17,60.2516937135847
"43",2020-04-18,60.2574152193966
"44",2020-04-19,61.6221167237554
"45",2020-04-20,64.8463843759637
"46",2020-04-21,65.4501435773688
"47",2020-04-22,65.7051061689391
"48",2020-04-23,66.177404996732
"49",2020-04-24,67.4512087862275
"50",2020-04-25,68.1120017657337
"51",2020-04-26,68.804950906581
"52",2020-04-27,69.6233736912767
"53",2020-04-28,70.6179154863253
"54",2020-04-29,71.4226102846298
"55",2020-04-30,73.7564023652886
"56",2020-05-01,74.3809158934125
"57",2020-05-02,74.7913739769616
"58",2020-05-03,74.9029827195345
"59",2020-05-04,72.0439065213293
"60",2020-05-05,72.8084810475217
"61",2020-05-06,73.4932994226504
"62",2020-05-07,71.9813677654039
"63",2020-05-08,71.5371284225809
"64",2020-05-09,71.2804574859992
"65",2020-05-10,71.5607349234376
"66",2020-05-11,74.603674716122
"67",2020-05-12,73.750277612677
"68",2020-05-13,72.8128959006651
"69",2020-05-14,72.4053575261626
"70",2020-05-15,72.3005700563977
"71",2020-05-16,72.5063822611845
"72",2020-05-17,72.5159827189423
"73",2020-05-18,73.5546274943423
"74",2020-05-19,74.3233575848534
"75",2020-05-20,75.496311561815
"76",2020-05-21,76.6438735895924
"77",2020-05-22,78.2676998083184
"78",2020-05-23,79.995033505858
"79",2020-05-24,80.4556197319265
"80",2020-05-25,80.8930509991926
"81",2020-05-26,81.5133932518138
"82",2020-05-27,82.0856414055533
"83",2020-05-28,83.7197145130511
"84",2020-05-29,85.7997511531299
"85",2020-05-30,86.2904997831352
"86",2020-05-31,86.7905646138437
"87",2020-06-01,84.001875845688
"88",2020-06-02,85.115232718788
"89",2020-06-03,86.1756477313444
"90",2020-06-04,86.220760641537
"91",2020-06-05,85.3409259401768
"92",2020-06-06,85.2497946024255
"93",2020-06-07,85.2919932454586
"94",2020-06-08,88.783942357381
"95",2020-06-09,88.3145627999625
"96",2020-06-10,87.8912844806382
"97",2020-06-11,87.7291434253722
"98",2020-06-12,87.6972519409596
"99",2020-06-13,88.3315526337539
"100",2020-06-14,88.7103325477587
"101",2020-06-15,88.8201790001931
"102",2020-06-16,89.1400886874262
"103",2020-06-17,89.6324421540917
"104",2020-06-18,89.8825157461336
"105",2020-06-19,90.5175745770353
"106",2020-06-20,91.2025812091634
"107",2020-06-21,91.2644644243736
"108",2020-06-22,91.1668214565936
"109",2020-06-23,91.7077558137112
"110",2020-06-24,91.451861227132
"111",2020-06-25,91.8295765573462
"112",2020-06-26,92.877945037755
"113",2020-06-27,93.4148593963675
"114",2020-06-28,94.2890092159154
"115",2020-06-29,95.9206537338323
"116",2020-06-30,97.2225373055382
"117",2020-07-01,99.3372588314289
"118",2020-07-02,100.040409466161
"119",2020-07-03,100.254118806518
"120",2020-07-04,100.438847117488
"121",2020-07-05,100.529777713284
"122",2020-07-06,99.9463443774862
"123",2020-07-07,99.1623330983748
"124",2020-07-08,97.8989552047757
"125",2020-07-09,97.6129910543071
"126",2020-07-10,96.8504443189663
"127",2020-07-11,96.5979080381231
"128",2020-07-12,96.5324545833132
"129",2020-07-13,96.4853816501051
"130",2020-07-14,95.7905361760527
"131",2020-07-15,95.8680977628813
"132",2020-07-16,95.6302798752894
"133",2020-07-17,95.8970349281954
"134",2020-07-18,96.0106146724634
"135",2020-07-19,95.8687493114002
"136",2020-07-20,95.6671890067983
"137",2020-07-21,95.5031726541948
"138",2020-07-22,95.2213014018026
"139",2020-07-23,95.7483237462781
"140",2020-07-24,96.5593546941186
"141",2020-07-25,97.169876244663
"142",2020-07-26,97.8452706857031
"143",2020-07-27,98.8489603192155
"144",2020-07-28,99.8446430045902
"145",2020-07-29,100.879597810584
"146",2020-07-30,102.10112056258
"147",2020-07-31,103.498908637929
"148",2020-08-01,104.084531602761
"149",2020-08-02,104.053404478765
"150",2020-08-03,100.286057113546
"151",2020-08-04,100.770582269213
"152",2020-08-05,100.560041611042
"153",2020-08-06,99.6250934884649
"154",2020-08-07,97.7316512545521
"155",2020-08-08,96.1755158268014
"156",2020-08-09,95.7318966170763
