"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"758",2022-02-17,4991.42375779947,1893.07878586732,1125.56515756555,1684.46654102819,3937.66861247701,3046.55486488009,10269.1987934719,6329.4636252472,1681.39474319938,2868.07836636427,3147.67739366549,2361.06729957922,1417.54280982765,NA,1614.81830893824,7013.55439257321,5337.94481680519,2077.88315246606,406.030484703956,7265.43315208866,1210.43445505168,3991.8097560705,1566.22451165003,5561.91897836883,5060.38710024662,1553.28569326948,1337.23123666634
"759",2022-02-18,4960.81004427813,1730.03946831217,1075.56543613543,1574.19351040148,3868.82505859694,2837.82794043081,10191.3321567508,6233.07317220453,1633.84058374181,2631.69098395603,3112.99867417437,2360.73162269284,1325.91052104442,NA,1536.62023899252,7021.26285438091,5055.28626604404,1859.27863768012,378.678131692462,7227.67167512539,1148.39796431194,3646.27775852696,1477.3629014006,5578.92683886254,4679.06317818952,1320.31825426422,1284.85687421835
"760",2022-02-19,4890.6084644886,1730.03946831217,1045.10846296713,1475.79414981333,3777.03365342351,2698.00371837969,10089.955686116,6169.59285034948,1633.84058374181,2425.77535427031,3078.41631791908,2354.03673368114,1325.91052104442,NA,1466.18067670688,7098.92039867331,4868.00439770609,1859.27863768012,353.757098948657,6889.43855002409,1082.93797151499,3322.47470154818,1391.84931147704,5484.40203059543,4266.88733956523,1320.31825426422,1253.50367769874
"761",2022-02-20,4807.39154115552,1730.03946831217,1031.59425254631,1408.94342490615,3720.1777830549,2549.39059888449,9903.56490031744,5948.05332045108,1633.84058374181,2281.86869679969,3060.17837099949,2341.1318222714,1325.91052104442,NA,1405.31043755697,7075.06583443057,4722.63100783628,1859.27863768012,337.34568714176,6648.54277789186,1027.60101095489,3040.95209542206,1348.52592846012,5415.37983946561,4017.14059439437,1320.31825426422,1220.01985622423
"762",2022-02-21,4715.46009465191,1461.12105440181,986.351647469393,1385.44140859016,4028.20416509209,2630.76301902383,9800.81056395872,5824.26291873613,1593.48116563509,2238.8829324057,3034.40120541735,2334.05463458354,1116.60415956359,NA,1376.95038329148,7084.07640127335,4589.46153868178,1550.59342492352,316.882074888716,4648.05823206273,988.238637686353,2818.24261816899,1300.75740461052,5351.80676868814,3847.40699733001,1320.31825426422,1182.25677955858
"763",2022-02-22,4664.65171538954,1367.70756523559,936.737638176016,1293.81298380912,3810.3708304268,2352.10050892975,9468.09043828359,5747.19584547335,1507.83293484373,2033.1239890097,2981.80012860397,2295.95530797935,1077.10660124943,NA,1306.8835872291,7120.17075284588,4473.82849518858,1499.44452951161,297.43151274721,4147.21235993434,944.649556108723,2703.78861059043,1190.04609863433,5168.49982781147,3421.10271093196,751.794811139779,1144.30314699908
"764",2022-02-23,4605.00464228971,1246.71784840128,881.709373333491,1193.37743600362,3740.49976081717,2132.15271648294,9018.90621229707,5738.96831267644,1503.19350465275,2132.85555853492,2951.44811840122,2271.20846196674,998.868691697613,NA,1253.02798003153,7093.34738912315,4292.48753840119,1453.67115495509,278.588780672625,3879.780557561,875.144563958023,2523.3011992176,1108.30804547827,5253.64921351947,3293.3219536856,607.476795385421,1102.16928829564
"765",2022-02-24,4548.16834155964,1150.85139311453,832.795360140136,1100.59598954528,3419.11567429578,1963.98993408327,8527.38706194419,5573.58735526336,1414.86310328223,1735.28872052856,2913.45691267876,2240.11172818676,923.424262306355,NA,1205.47626385394,7066.73236220604,4128.03881204674,1416.04250896735,273.928750159555,3651.53366508579,812.412838954355,2359.89139227433,1027.35291399842,5086.24930074209,2821.65285538813,471.594599706652,916.716391251882
"766",2022-02-25,4472.33392878812,1073.30798368891,780.96707746914,1023.58886092743,3356.32304637863,1845.1708013296,8090.15582111238,5566.41656979816,1227.92668757914,1625.99928733106,2878.00849184152,2223.9153184189,851.172381670022,NA,1163.38018844608,6970.63701061684,3938.75278077607,1381.99754354986,261.164318754191,3461.65581241191,762.18216338574,2195.12900013691,956.462446698229,4869.91738803296,2552.44345256974,428.262050002028,876.632133737468
"767",2022-02-26,4433.27660991503,1073.30798368891,750.15296343349,941.62619233481,3506.11200606463,1722.72718736502,7625.28114919513,5431.75676695702,1227.92668757914,1529.02091975359,2837.10711639726,2181.40557050198,851.172381670022,NA,1125.50548342428,6939.90733178886,3739.76803245599,1381.99754354986,258.935608508811,3303.88042283828,716.420474733343,2055.87111011338,896.919192902527,4779.19045152659,2284.86795187485,428.262050002028,808.362108773745
